model_name,publisher,full_model_name,overall_latam_score,spanish_score,spanish_spanish,spanish_copa_es,spanish_escola,spanish_mgsm_direct_es_spanish_bench,spanish_openbookqa_es,spanish_paws_es_spanish_bench,spanish_teleia,spanish_teleia_cervantes_ave,spanish_teleia_pce,spanish_teleia_siele,spanish_wnli_es,spanish_xnli_es_spanish_bench,teleia_score,teleia_teleia_cervantes_ave,teleia_teleia_pce,teleia_teleia_siele,portuguese_score,portuguese_assin2_rte,portuguese_bluex,portuguese_enem_challenge,portuguese_faquad_nli,portuguese_oab_exams,translation_score,translation_flores_plus_bidirectional,translation_flores_arb_por,translation_flores_arb_spa,translation_flores_cmn_por,translation_flores_cmn_spa,translation_flores_deu_por,translation_flores_deu_spa,translation_flores_eng_por,translation_flores_eng_spa,translation_flores_fra_por,translation_flores_fra_spa,translation_flores_hin_por,translation_flores_hin_spa,translation_flores_ita_por,translation_flores_ita_spa,translation_flores_por_spa,translation_opus,translation_opus_100_en-es,translation_opus_100_en-pt,structured_extraction_score,structured_extraction_extraction_quality_score,structured_extraction_composite_score,structured_extraction_schema_validity,structured_extraction_field_f1_partial,structured_extraction_hallucination_rate
gemma-3-12b-pt,google,google/gemma-3-12b-pt,0.4392,0.6034,0.5304,0.858,0.6106,0.308,0.344,0.5495,0.7619,0.5,0.5714,0.75,0.8028,0.4442,0.7619,0.5,0.5714,0.75,0.8703,0.9193,0.6801,0.7796,0.4397,0.5904,0.2831,0.2676,0.1779,0.1786,0.1695,0.1634,0.2334,0.2263,0.7058,0.5676,0.2519,0.2442,0.2227,0.1325,0.2534,0.2455,0.2409,0.3999,0.2718,0.5279,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-VL-8B-Instruct,Qwen,Qwen/Qwen3-VL-8B-Instruct,0.7055,0.6167,0.5798,0.796,0.7123,0.14,0.35,0.6255,0.619,0.5,0.5714,0.75,0.7606,0.4843,0.619,0.5,0.5714,0.75,0.9029,0.942,0.7288,0.8069,0.8208,0.5617,0.4511,0.4386,0.2149,0.1734,0.3791,0.3439,0.47,0.4425,0.6977,0.5282,0.5953,0.496,0.3891,0.3487,0.5375,0.4788,0.484,0.5451,0.565,0.5253,0.8513,0.8513,0.92,0.9895,0.7702,0.0535
gpt-oss-20b,openai,openai/gpt-oss-20b,0.3949,0.4167,0.4704,0.71,0.397,0.004,0.274,0.539,0.3333,0.1667,0.4286,0.125,0.6761,0.4337,0.3333,0.1667,0.4286,0.125,0.0191,0.0487,0.0195,0.0084,0.0,0.0123,0.2824,0.2674,0.093,0.0966,0.2759,0.2581,0.2938,0.2716,0.4076,0.3569,0.3225,0.2853,0.2005,0.2087,0.3112,0.2997,0.3291,0.3952,0.4152,0.3753,0.8614,0.8614,0.9162,0.9622,0.7829,0.0403
Qwen3-VL-4B-Instruct,Qwen,Qwen/Qwen3-VL-4B-Instruct,0.6169,0.5857,0.557,0.742,0.6705,0.024,0.322,0.6065,0.6667,0.5,0.5714,0.625,0.7606,0.4735,0.6667,0.5,0.5714,0.625,0.8958,0.9408,0.6759,0.7635,0.8137,0.5339,0.1525,0.1414,0.1255,0.1244,0.2767,0.3268,0.3773,0.3576,0.6397,0.5462,0.4551,0.4357,0.301,0.3025,0.3938,0.3857,0.377,0.2361,0.5471,0.3483,0.8337,0.8337,0.9204,0.9916,0.7457,0.0679
Yi-1.5-6B-Chat,01-ai,01-ai/Yi-1.5-6B-Chat,0.5457,0.5376,0.5356,0.684,0.661,0.096,0.28,0.615,0.619,0.6667,0.4286,0.5,0.5634,0.4398,0.619,0.6667,0.4286,0.5,0.7682,0.8145,0.4798,0.5136,0.6463,0.4027,0.1376,0.1227,0.1305,0.1314,0.3193,0.2975,0.4509,0.4009,0.6228,0.5396,0.5406,0.4726,0.2383,0.2276,0.4602,0.4234,0.4684,0.2492,0.5351,0.4817,0.7392,0.7392,0.881,0.8887,0.635,0.1858
zephyr-7b-beta,HuggingFaceH4,HuggingFaceH4/zephyr-7b-beta,0.6545,0.5687,0.5441,0.768,0.6695,0.06,0.356,0.602,0.6667,0.3333,0.5714,0.75,0.6338,0.4345,0.6667,0.3333,0.5714,0.75,0.8272,0.8956,0.4757,0.5612,0.6206,0.4082,0.4208,0.4087,0.1324,0.1432,0.3066,0.3014,0.5099,0.4735,0.6544,0.5476,0.5743,0.5139,0.2389,0.2456,0.502,0.4799,0.5076,0.5117,0.5293,0.494,0.8011,0.8011,0.8868,0.9769,0.7115,0.1258
gemma-3n-E2B-it,google,google/gemma-3n-E2B-it,0.5946,0.58,0.5283,0.786,0.699,0.064,0.336,0.5695,0.619,0.5,0.4286,0.875,0.6197,0.4064,0.619,0.5,0.4286,0.875,0.8557,0.924,0.5591,0.6788,0.7034,0.4715,0.0965,0.0747,0.164,0.1685,0.1841,0.172,0.2627,0.2383,0.6554,0.5507,0.2776,0.2688,0.1546,0.1358,0.2703,0.2701,0.2768,0.2603,0.5713,0.5307,0.846,0.846,0.9029,0.8908,0.7643,0.0558
Ministral-8B-Instruct-2410,mistralai,mistralai/Ministral-8B-Instruct-2410,0.6725,0.6166,0.569,0.84,0.6087,0.068,0.388,0.62,0.619,0.6667,0.4286,0.75,0.7606,0.4871,0.619,0.6667,0.4286,0.75,0.8604,0.9206,0.5981,0.7096,0.7147,0.5148,0.3728,0.3507,0.1636,0.1637,0.187,0.2015,0.3833,0.399,0.6973,0.5687,0.4688,0.4539,0.159,0.1849,0.3787,0.4227,0.4279,0.5385,0.5737,0.5033,0.8402,0.8402,0.8937,0.9916,0.7622,0.085
DeepSeek-R1-Distill-Qwen-7B,deepseek-ai,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0.5035,0.4438,0.4625,0.58,0.3742,0.084,0.24,0.5675,0.4286,0.5,0.4286,0.375,0.493,0.4361,0.4286,0.5,0.4286,0.375,0.7526,0.7817,0.484,0.499,0.4392,0.3645,0.048,0.0411,0.1444,0.1448,0.1455,0.144,0.2252,0.2215,0.5401,0.4741,0.2479,0.244,0.1138,0.116,0.2479,0.2455,0.2447,0.0996,0.3642,0.3408,0.7698,0.7698,0.8774,0.9223,0.6734,0.1579
Ministral-8B-Instruct-2410,mistralai,mistralai/Ministral-8B-Instruct-2410,0.6729,0.6166,0.569,0.84,0.6087,0.068,0.388,0.62,0.619,0.6667,0.4286,0.75,0.7606,0.4871,0.619,0.6667,0.4286,0.75,0.86,0.9206,0.5981,0.7089,0.7147,0.5148,0.3727,0.3506,0.1633,0.1643,0.1869,0.202,0.3838,0.3988,0.6974,0.5687,0.4689,0.453,0.1589,0.185,0.3784,0.4232,0.4271,0.5384,0.5741,0.5028,0.8422,0.8422,0.8932,0.9916,0.7644,0.0815
Llama-3.1-8B-Instruct,meta-llama,meta-llama/Llama-3.1-8B-Instruct,0.6179,0.6278,0.5916,0.818,0.6923,0.008,0.352,0.6485,0.6667,0.5,0.5714,0.875,0.6901,0.5024,0.6667,0.5,0.5714,0.875,0.8611,0.9074,0.6036,0.7131,0.6145,0.5185,0.1702,0.1623,0.1727,0.1812,0.3163,0.3071,0.5493,0.492,0.663,0.552,0.5967,0.5225,0.3926,0.3337,0.5307,0.5017,0.5174,0.229,0.5714,0.4922,0.8127,0.8127,0.9047,0.9853,0.7297,0.1236
Qwen3-4B-Instruct-2507,Qwen,Qwen/Qwen3-4B-Instruct-2507,0.6269,0.6112,0.5533,0.738,0.6714,0.0,0.298,0.6145,0.6667,0.6667,0.4286,0.875,0.7465,0.4618,0.6667,0.6667,0.4286,0.875,0.8839,0.9264,0.6732,0.7537,0.8119,0.5139,0.1656,0.1516,0.1147,0.1142,0.3625,0.3409,0.5467,0.492,0.6452,0.5359,0.5801,0.5024,0.4084,0.3769,0.5161,0.4781,0.5037,0.2702,0.5614,0.5193,0.8468,0.8468,0.898,0.9937,0.7668,0.066
Mistral-NeMo-Minitron-8B-Instruct,nvidia,nvidia/Mistral-NeMo-Minitron-8B-Instruct,0.5818,0.6202,0.5628,0.836,0.5783,0.124,0.38,0.63,0.6667,0.5,0.5714,0.875,0.7324,0.4783,0.6667,0.5,0.5714,0.875,0.8057,0.8861,0.6134,0.7341,0.5828,0.513,0.1035,0.08,0.171,0.1719,0.1681,0.1653,0.2555,0.2519,0.6768,0.5579,0.3415,0.3442,0.1292,0.1347,0.2998,0.302,0.329,0.2801,0.561,0.5101,0.7978,0.7978,0.8954,0.9412,0.7111,0.1359
Nemotron-Mini-4B-Instruct,nvidia,nvidia/Nemotron-Mini-4B-Instruct,0.5911,0.5174,0.5335,0.734,0.471,0.048,0.332,0.632,0.5238,0.3333,0.4286,0.75,0.493,0.4823,0.5238,0.3333,0.4286,0.75,0.7361,0.7907,0.5035,0.6018,0.5612,0.4264,0.3262,0.3002,0.1407,0.1334,0.1705,0.1804,0.3075,0.3292,0.6449,0.5384,0.3424,0.3745,0.1524,0.1875,0.3111,0.341,0.3491,0.5211,0.5459,0.4962,0.7847,0.7847,0.8923,0.9328,0.6943,0.149
aya-vision-8b,CohereLabs,CohereLabs/aya-vision-8b,0.6115,0.5979,0.5295,0.768,0.6116,0.12,0.324,0.5955,0.7143,0.6667,0.5714,0.875,0.5352,0.4333,0.7143,0.6667,0.5714,0.875,0.8593,0.9106,0.5257,0.6585,0.7419,0.4661,0.1451,0.1223,0.1637,0.1708,0.2452,0.2905,0.3409,0.2661,0.5621,0.4595,0.4344,0.3488,0.3888,0.3388,0.3456,0.267,0.2783,0.3166,0.5829,0.5355,0.8435,0.8435,0.8696,0.7479,0.7585,0.0432
granite-4.0-h-tiny,ibm-granite,ibm-granite/granite-4.0-h-tiny,0.6808,0.6242,0.5486,0.778,0.7037,0.128,0.364,0.601,0.7143,0.6667,0.4286,1.0,0.6479,0.4277,0.7143,0.6667,0.4286,1.0,0.8115,0.8813,0.5688,0.6648,0.6474,0.4355,0.4415,0.4271,0.1174,0.1285,0.3828,0.3609,0.5262,0.4489,0.6921,0.5638,0.5498,0.4532,0.4114,0.3753,0.4897,0.4431,0.4628,0.5502,0.5746,0.5257,0.846,0.846,0.8788,0.9916,0.7695,0.0779
DeepSeek-R1-Distill-Llama-8B,deepseek-ai,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0.5433,0.4791,0.5424,0.73,0.6486,0.004,0.292,0.6095,0.3333,0.0,0.4286,0.5,0.6479,0.455,0.3333,0.0,0.4286,0.5,0.8072,0.8531,0.4924,0.5689,0.6801,0.4337,0.078,0.0571,0.1604,0.1649,0.1943,0.1641,0.2622,0.2287,0.6314,0.5264,0.2572,0.2436,0.139,0.1231,0.254,0.2453,0.2424,0.2345,0.522,0.4845,0.8088,0.8088,0.8747,0.9895,0.7227,0.1227
Llama-3.2-3B-Instruct,meta-llama,meta-llama/Llama-3.2-3B-Instruct,0.5532,0.5145,0.4975,0.742,0.4435,0.004,0.274,0.5785,0.5238,0.3333,0.4286,0.75,0.6338,0.447,0.5238,0.3333,0.4286,0.75,0.7993,0.8339,0.4951,0.5962,0.6762,0.4333,0.1514,0.1353,0.1596,0.1745,0.3519,0.3343,0.4637,0.3775,0.659,0.542,0.4855,0.3511,0.3778,0.3148,0.45,0.3999,0.3936,0.2722,0.5576,0.5112,0.7473,0.7473,0.8966,0.9811,0.6497,0.2082
aya-expanse-8b,CohereLabs,CohereLabs/aya-expanse-8b,0.6864,0.6226,0.569,0.808,0.7066,0.08,0.366,0.609,0.6667,0.6667,0.4286,0.875,0.6761,0.4675,0.6667,0.6667,0.4286,0.875,0.8534,0.9056,0.5466,0.6515,0.7644,0.4765,0.4824,0.4697,0.1538,0.1547,0.4261,0.3948,0.5825,0.4866,0.7041,0.5557,0.6046,0.5307,0.4967,0.4428,0.541,0.4929,0.4779,0.5775,0.6032,0.5518,0.7871,0.7871,0.8816,0.9958,0.6972,0.1552
Yi-1.5-9B-Chat,01-ai,01-ai/Yi-1.5-9B-Chat,0.5754,0.5355,0.5465,0.722,0.7104,0.188,0.266,0.63,0.7143,0.3333,0.4286,0.625,0.6761,0.4281,0.7143,0.3333,0.4286,0.625,0.8356,0.8911,0.3574,0.6396,0.7618,0.4624,0.1622,0.152,0.1231,0.1267,0.3423,0.3306,0.4771,0.4216,0.6326,0.5273,0.5472,0.4758,0.291,0.2751,0.4725,0.4396,0.485,0.2387,0.5194,0.4749,0.7683,0.7683,0.8786,0.9055,0.6696,0.1517
Hermes-3-Llama-3.1-8B,NousResearch,NousResearch/Hermes-3-Llama-3.1-8B,0.6987,0.6176,0.5742,0.834,0.7085,0.0,0.372,0.6035,0.619,0.5,0.4286,0.875,0.7606,0.4767,0.619,0.5,0.4286,0.875,0.8622,0.9133,0.573,0.6739,0.7108,0.4902,0.4655,0.4594,0.1916,0.1876,0.3648,0.3476,0.544,0.4953,0.6799,0.5588,0.5886,0.5248,0.4484,0.4051,0.5315,0.5014,0.5212,0.5112,0.5352,0.4872,0.8493,0.8493,0.8922,0.9937,0.7711,0.0663
granite-vision-3.3-2b,ibm-granite,ibm-granite/granite-vision-3.3-2b,0.2843,0.337,0.4047,0.508,0.3485,0.008,0.19,0.526,0.2381,0.3333,0.1429,0.125,0.507,0.3522,0.2381,0.3333,0.1429,0.125,0.0251,0.0,0.1641,0.1826,0.021,0.2255,0.0,0.0,0.0654,0.0676,0.0306,0.033,0.0657,0.0658,0.0619,0.0651,0.0743,0.0757,0.0238,0.0271,0.0684,0.0715,0.0698,0.0,0.0238,0.0203,0.7751,0.7751,0.8747,0.9643,0.6856,0.1751
Hunyuan-MT-7B,tencent,tencent/Hunyuan-MT-7B,0.5378,0.4844,0.5035,0.678,0.5983,0.024,0.304,0.5795,0.4286,0.3333,0.2857,0.625,0.5493,0.4068,0.4286,0.3333,0.2857,0.625,0.833,0.906,0.3616,0.4864,0.4696,0.3718,0.1036,0.1027,0.0475,0.0693,0.3956,0.385,0.3729,0.3377,0.2069,0.189,0.3558,0.3496,0.3279,0.2951,0.3966,0.3677,0.3262,0.1105,0.3849,0.2255,0.7301,0.7301,0.8805,0.9706,0.6247,0.2167
Apertus-8B-Instruct-2509,swiss-ai,swiss-ai/Apertus-8B-Instruct-2509,0.6838,0.6358,0.5898,0.842,0.7066,0.012,0.394,0.612,0.7143,0.6667,0.4286,0.875,0.6901,0.5076,0.7143,0.6667,0.4286,0.875,0.8675,0.9175,0.5355,0.6697,0.7526,0.4888,0.4799,0.4676,0.1815,0.1798,0.4324,0.3865,0.5834,0.4744,0.6915,0.5263,0.6142,0.4901,0.5079,0.4413,0.5396,0.4682,0.4969,0.5724,0.5987,0.5461,0.752,0.752,0.8848,0.979,0.6575,0.208
Seed-X-PPO-7B,ByteDance-Seed,ByteDance-Seed/Seed-X-PPO-7B,0.4226,0.571,0.5293,0.822,0.5907,0.044,0.358,0.6,0.6667,0.6667,0.2857,0.75,0.6479,0.4185,0.6667,0.6667,0.2857,0.75,0.779,0.8227,0.4353,0.5514,0.4397,0.3681,0.088,0.057,0.1687,0.1724,0.1897,0.1909,0.2328,0.2284,0.5919,0.5596,0.2512,0.2442,0.1275,0.127,0.2485,0.2447,0.2415,0.3206,0.5791,0.5413,0.2525,0.2525,0.932,0.1996,0.064,0.1855
gemma-3n-E4B-it,google,google/gemma-3n-E4B-it,0.6611,0.6412,0.5665,0.838,0.7189,0.124,0.388,0.6115,0.7143,0.6667,0.4286,1.0,0.6761,0.443,0.7143,0.6667,0.4286,1.0,0.8654,0.926,0.605,0.7152,0.7119,0.5198,0.3023,0.2677,0.178,0.1792,0.1806,0.1705,0.2381,0.2338,0.7052,0.5722,0.2628,0.2625,0.1334,0.1277,0.2602,0.256,0.2552,0.5616,0.5862,0.5371,0.8354,0.8354,0.8947,0.9811,0.7503,0.0727
Hermes-4-14B,NousResearch,NousResearch/Hermes-4-14B,0.731,0.6728,0.5902,0.828,0.661,0.116,0.354,0.6635,0.7619,0.8333,0.5714,0.875,0.7746,0.4944,0.7619,0.8333,0.5714,0.875,0.9081,0.9436,0.7427,0.8307,0.8281,0.6182,0.4825,0.4741,0.1936,0.1895,0.4224,0.3736,0.5757,0.5146,0.7083,0.5766,0.6154,0.5455,0.4389,0.3601,0.5547,0.5117,0.5303,0.5457,0.5573,0.534,0.8607,0.8607,0.8996,0.9958,0.7847,0.0505
Phi-4-mini-instruct,microsoft,microsoft/Phi-4-mini-instruct,0.5669,0.5082,0.5266,0.736,0.529,0.144,0.332,0.582,0.5238,0.3333,0.2857,0.625,0.6761,0.4747,0.5238,0.3333,0.2857,0.625,0.8227,0.8871,0.5188,0.6081,0.6872,0.4323,0.1871,0.1775,0.1477,0.1552,0.3596,0.3515,0.5061,0.4685,0.6646,0.5613,0.5763,0.5065,0.3016,0.2835,0.5025,0.4747,0.4955,0.2586,0.5453,0.4907,0.7495,0.7495,0.8956,0.9916,0.6539,0.2124
AFM-4.5B,arcee-ai,arcee-ai/AFM-4.5B,0.5892,0.528,0.5387,0.7,0.7132,0.052,0.304,0.6035,0.4286,0.3333,0.4286,0.5,0.7465,0.4225,0.4286,0.3333,0.4286,0.5,0.82,0.8719,0.4979,0.5598,0.7549,0.3977,0.262,0.2542,0.128,0.1236,0.234,0.1958,0.251,0.2365,0.485,0.4211,0.2698,0.274,0.1849,0.1844,0.269,0.2709,0.2845,0.3204,0.355,0.2858,0.7468,0.7468,0.8804,0.9727,0.6453,0.196
